car_id,symboling,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,make,fueltype_gas,fueltype_diesel,aspiration_std,aspiration_turbo,doornumber_two,doornumber_four,enginelocation_front,enginelocation_rear,cylinders,market_segment
35,1,hatchback,fwd,93.7,150.0,64.0,52.6,1956,ohc,92,Rare,2.91,3.41,9.2,76,6000,30,34,7129.0,honda,1,0,1,0,1,0,1,0,4,Budget Tier
36,0,sedan,fwd,96.5,163.4,64.0,54.5,2010,ohc,92,Rare,2.91,3.41,9.2,76,6000,30,34,7295.0,honda,1,0,1,0,0,1,1,0,4,Budget Tier
37,0,wagon,fwd,96.5,157.1,63.9,58.3,2024,ohc,92,Rare,2.92,3.41,9.2,76,6000,30,34,7295.0,honda,1,0,1,0,0,1,1,0,4,Budget Tier
44,0,sedan,rwd,94.3,170.7,61.8,53.5,2337,ohc,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785.0,isuzu,1,0,1,0,0,1,1,0,4,Mid-Tier
51,1,hatchback,fwd,93.1,159.1,64.2,54.1,1890,ohc,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195.0,mazda,1,0,1,0,1,0,1,0,4,Mid-Tier
52,1,hatchback,fwd,93.1,159.1,64.2,54.1,1900,ohc,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095.0,mazda,1,0,1,0,1,0,1,0,4,Mid-Tier
53,1,hatchback,fwd,93.1,159.1,64.2,54.1,1905,ohc,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795.0,mazda,1,0,1,0,1,0,1,0,4,Mid-Tier
54,1,sedan,fwd,93.1,166.8,64.2,54.1,1945,ohc,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695.0,mazda,1,0,1,0,0,1,1,0,4,Mid-Tier
77,2,hatchback,fwd,93.7,157.3,64.4,50.8,1918,ohc,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389.0,mitsubishi,1,0,1,0,1,0,1,0,4,Mid-Tier
78,2,hatchback,fwd,93.7,157.3,64.4,50.8,1944,ohc,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189.0,mitsubishi,1,0,1,0,1,0,1,0,4,Mid-Tier
79,2,hatchback,fwd,93.7,157.3,64.4,50.8,2004,ohc,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669.0,mitsubishi,1,0,1,0,1,0,1,0,4,Mid-Tier
86,1,sedan,fwd,96.3,172.4,65.4,51.6,2365,ohc,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989.0,mitsubishi,1,0,1,0,0,1,1,0,4,Mid-Tier
90,1,sedan,fwd,94.5,165.3,63.8,54.5,1889,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499.0,nissan,1,0,1,0,1,0,1,0,4,Mid-Tier
91,1,sedan,fwd,94.5,165.3,63.8,54.5,2017,ohc,103,idi,2.99,3.47,21.9,55,4800,45,50,7099.0,nissan,0,1,1,0,1,0,1,0,4,Mid-Tier
92,1,sedan,fwd,94.5,165.3,63.8,54.5,1918,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649.0,nissan,1,0,1,0,1,0,1,0,4,Mid-Tier
93,1,sedan,fwd,94.5,165.3,63.8,54.5,1938,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849.0,nissan,1,0,1,0,0,1,1,0,4,Mid-Tier
94,1,wagon,fwd,94.5,170.2,63.8,53.5,2024,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349.0,nissan,1,0,1,0,0,1,1,0,4,Mid-Tier
95,1,sedan,fwd,94.5,165.3,63.8,54.5,1951,ohc,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299.0,nissan,1,0,1,0,1,0,1,0,4,Mid-Tier
119,1,hatchback,fwd,93.7,157.3,63.8,50.8,1918,ohc,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572.0,plymouth,1,0,1,0,1,0,1,0,4,Budget Tier
121,1,hatchback,fwd,93.7,157.3,63.8,50.6,1967,ohc,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,plymouth,1,0,1,0,0,1,1,0,4,Budget Tier
122,1,wagon,fwd,93.7,167.3,63.8,50.8,1989,ohc,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,plymouth,1,0,1,0,0,1,1,0,4,Budget Tier
139,2,hatchback,fwd,93.7,156.9,63.4,53.7,2050,ohcf,97,2bbl,3.62,2.36,9.0,69,4900,31,36,5118.0,subaru,1,0,1,0,1,0,1,0,4,Mid-Tier
140,2,hatchback,fwd,93.7,157.9,63.6,53.7,2120,ohcf,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053.0,subaru,1,0,1,0,1,0,1,0,4,Mid-Tier
142,0,sedan,fwd,97.2,172.0,65.4,52.5,2145,ohcf,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126.0,subaru,1,0,1,0,0,1,1,0,4,Mid-Tier
151,1,hatchback,fwd,95.7,158.7,63.6,54.5,1985,ohc,92,2bbl,3.05,3.03,9.0,62,4800,35,39,5348.0,toyota,1,0,1,0,1,0,1,0,4,Mid-Tier
152,1,hatchback,fwd,95.7,158.7,63.6,54.5,2040,ohc,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6338.0,toyota,1,0,1,0,1,0,1,0,4,Mid-Tier
153,1,hatchback,fwd,95.7,158.7,63.6,54.5,2015,ohc,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488.0,toyota,1,0,1,0,0,1,1,0,4,Mid-Tier
154,0,wagon,fwd,95.7,169.7,63.6,59.1,2280,ohc,92,2bbl,3.05,3.03,9.0,62,4800,31,37,6918.0,toyota,1,0,1,0,0,1,1,0,4,Mid-Tier
157,0,sedan,fwd,95.7,166.3,64.4,53.0,2081,ohc,98,2bbl,3.19,3.03,9.0,70,4800,30,37,6938.0,toyota,1,0,1,0,0,1,1,0,4,Mid-Tier
158,0,hatchback,fwd,95.7,166.3,64.4,52.8,2109,ohc,98,2bbl,3.19,3.03,9.0,70,4800,30,37,7198.0,toyota,1,0,1,0,0,1,1,0,4,Mid-Tier
